2025-12-12 19:53:48 - llm-service - INFO - [logger.py:113] - Logger 'llm-service' initialized
2025-12-12 19:53:48 - llm-service - INFO - [logger.py:114] - Console logging level: INFO
2025-12-12 19:53:48 - llm-service - INFO - [logger.py:115] - File logging level: INFO
2025-12-12 19:53:48 - llm-service - INFO - [logger.py:116] - Log file: /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/logs/llm-service.log
2025-12-12 19:53:48 - llm-service - INFO - [config.py:214] - Loading Kokoro voices
2025-12-12 19:54:23 - llm-service - INFO - [service.py:505] - Starting server on http://0.0.0.0:9000
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_kore from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_kore.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_nicole from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_nicole.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_nova from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_nova.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_river from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_river.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_sarah from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_sarah.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice af_sky from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/af_sky.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_adam from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_adam.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_echo from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_echo.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_eric from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_eric.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_fenrir from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_fenrir.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_liam from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_liam.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_michael from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_michael.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_onyx from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_onyx.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_puck from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_puck.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:64] - Loading voice am_santa from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/am_santa.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice default from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_081.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice alloy from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_052.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice echo from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_011.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice ash from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_081.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice coral from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_017.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice fable from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_031.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice onyx from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_041.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice nova from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_061.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice shimmer from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_027.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice sage from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_083.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_xiaobei from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_xiaobei.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_xiaoni from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_xiaoni.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_xiaoxiao from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_xiaoxiao.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_xiaoyi from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_xiaoyi.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_yunjian from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_yunjian.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_yunxi from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_yunxi.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_yunxia from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_yunxia.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_yunyang from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_yunyang.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_078 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_078.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_039 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_039.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_089 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_089.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_019 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_019.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_048 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_048.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_018 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_018.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_049 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_049.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_059 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_059.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_008 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_008.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_098 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_098.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_028 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_028.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_079 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_079.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_038 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_038.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_023 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_023.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_072 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_072.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_046 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_046.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_017 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_017.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_025 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_025.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_100 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_100.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_011 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_011.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_050 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_050.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_097 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_097.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_064 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_064.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_035 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_035.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_007 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_007.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_042 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_042.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_085 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_085.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_076 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_076.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_027 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_027.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_015 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_015.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_031 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_031.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_054 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_054.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_003 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_003.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_043 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_043.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_084 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_084.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_077 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_077.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_026 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_026.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_014 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_014.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_045 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_045.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_020 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_020.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_082 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_082.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_030 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_030.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_061 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_061.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zm_055 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zm_055.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_036 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_036.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_067 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_067.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_094 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_094.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_002 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_002.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_022 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_022.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_073 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_073.pt
2025-12-12 19:57:20 - llm-service - INFO - [kokoro_tts.py:70] - Loading voice zf_047 from /Users/jun/GolandProjects/competition/tencent-hunyuan-ai-podcast/src/llm/models/hexgrad/Kokoro-82M-v1.1-zh/voices/zf_047.pt
